02155,42.4173,-71.1087,Boston,http://boston.craigslist.org/,Massachusetts
02156,42.4464,-71.4594,Boston,http://boston.craigslist.org/,Massachusetts
02169,42.2491,-70.9978,Boston,http://boston.craigslist.org/,Massachusetts
02170,42.2671,-71.0186,Boston,http://boston.craigslist.org/,Massachusetts
02171,42.2825,-71.0241,Boston,http://boston.craigslist.org/,Massachusetts
02176,42.4581,-71.0632,Boston,http://boston.craigslist.org/,Massachusetts
02180,42.4828,-71.0978,Boston,http://boston.craigslist.org/,Massachusetts
02184,42.2093,-70.9963,Boston,http://boston.craigslist.org/,Massachusetts
02190,42.1728,-70.9487,Boston,http://boston.craigslist.org/,Massachusetts
02191,42.2436,-70.9443,Boston,http://boston.craigslist.org/,Massachusetts
02199,42.3479,-71.0825,Boston,http://boston.craigslist.org/,Massachusetts
02201,42.3389,-70.9196,Boston,http://boston.craigslist.org/,Massachusetts
02202,42.3611,-71.0618,Boston,http://boston.craigslist.org/,Massachusetts
02203,42.3615,-71.0604,Boston,http://boston.craigslist.org/,Massachusetts
02206,42.3389,-70.9196,Boston,http://boston.craigslist.org/,Massachusetts
02207,42.3389,-70.9196,Boston,http://boston.craigslist.org/,Massachusetts
02208,42.3389,-70.9196,Boston,http://boston.craigslist.org/,Massachusetts
02209,42.3389,-70.9196,Boston,http://boston.craigslist.org/,Massachusetts
02215,42.3471,-71.1027,Boston,http://boston.craigslist.org/,Massachusetts
02216,42.3389,-70.9196,Boston,http://boston.craigslist.org/,Massachusetts
02217,42.3389,-70.9196,Boston,http://boston.craigslist.org/,Massachusetts
02241,42.3389,-70.9196,Boston,http://boston.craigslist.org/,Massachusetts
02283,42.3389,-70.9196,Boston,http://boston.craigslist.org/,Massachusetts
02284,42.3389,-70.9196,Boston,http://boston.craigslist.org/,Massachusetts
02293,42.3389,-70.9196,Boston,http://boston.craigslist.org/,Massachusetts
02295,42.3389,-70.9196,Boston,http://boston.craigslist.org/,Massachusetts
